Unique ID,Server name and description,server name and installaion,SERVICE,CLASSIFICATIONID,SUPPORTTOOLS_PRODUCTNAME,SUPPORTTOOLS_VERSION,SUPPORTTOOLS_INSTANCE,SUPPORTTOOLS_PORT,RELATED_box
2310556,wrfdRpractd56.JDGF.UH.OK.ORG:reader:TAXWS_MIG2:2310556~tdgAgbcW,wrfdRpractd56.JDGF.UH.OK.ORG:TAXWS_MIG2,,IT.readerbox,reader box,4.8.31,taxws_mig2,,wrfdRpractd56.JDGF.UH.OK.ORG
2316729,wrfdRpractd56.JDGF.UH.OK.ORG:reader nft connect:reader:nft12:2316729~tdgAgbcW,wrfdRpractd56.JDGF.UH.OK.ORG:reader:nft12,,IT.SUPPORTTOOLS,reader nft connect,48.5.3.8,reader:nft12,,wrfdRpractd56.JDGF.UH.OK.ORG
2189045,wrfdgbcS0001.JDGF.UH.OK.ORG:tracker:TC2:5689045~tdgAgbcW,wrfdgbcS0001.JDGF.UH.OK.ORG:TC2,,IT.readerbox,reader tracker,7.9.556,tc2,,wrfdgbcS0001.JDGF.UH.OK.ORG
2186913,wrfdRerfd11.JDGF.UH.OK.ORG:reader:CMIO85:5686913~tdgAgbcW,wrfdRerfd11.JDGF.UH.OK.ORG:443,,IT.readerbox,reader box,9.6.4.8_YU,cmio85,,wrfdRerfd11.JDGF.UH.OK.ORG
2311030,wrfdRpractd56.JDGF.UH.OK.ORG:mirror scanner:TAX_IMB_2:2311030~tdgAgbcW,wrfdRpractd56.JDGF.UH.OK.ORG:COTAX1_MIG2/TAX_IMB_2,,IT.scannerbox,mirror scanner,48.5.3.8984,CX1_MIG2/tax_imb_2,,wrfdRpractd56.JDGF.UH.OK.ORG
2309647,wrfdRECCSFRO01.JDGF.UH.OK.ORG:mirror agent:mirror:CLT_SW.14.6.7:2309647~tdgAgbcW,wrfdRECCSFRO01.JDGF.UH.OK.ORG:mirror:CLT_SW.12.2.0.1,,IT.SUPPORTTOOLS,mirror agent,,mirror:clt_sw.14.6.7,,wrfdRECCSFRO01.JDGF.UH.OK.ORG
2320763,lotRWIF002wrfd66.UH.OK.ORG:mirror agent,lotRWIF002wrfd66.UH.OK.ORG:mirror agent,,IT.SUPPORTTOOLS,mirror-agent 12c 32-bit,,mirror agent,,lotRWIF002wrfd66.UH.OK.ORG
2209205,GEODBapcui8981.KI.GB.ORG:mirror agent 11.2.0.3:/TW/mirror/PRODUCT/TW14.7.6_agent64:5609205~tdgAgbcW,GEODBapcui8981.KI.GB.ORG:/TW/mirror/PRODUCT/TW12.1.0.2_agent64,,IT.SUPPORTTOOLS,mirror agent 11.2.0.3,,/TW/mirror/product/TW14.7.6_agent64,,GEODBapcui8981.KI.GB.ORG
1995675,wrfdPCAS4.JDGF.UH.OK.ORG:mirror:mirrorcontroltool~SUPPORTTOOLS,wrfdPCAS4.JDGF.UH.OK.ORG:mirror:mirrorcontroltool,,IT.SUPPORTTOOLS,mirror recovery controltool,5.6.3.8,mirror:mirrorcontroltool,,wrfdPCAS4.JDGF.UH.OK.ORG
2301270,GEOTCPAPLui8981.KI.GB.ORG:reader BASIC TRC:OTAPS:2301270~tdgAgbcW,GEOTCPAPLui8981.KI.GB.ORG:OTAPS,,IT.SUPPORTTOOLS,reader BASIC TRC,4.9.43,OTAPS,,GEOTCPAPLui8981.KI.GB.ORG
